1:0:d=2015123100:UGRD:planetary boundary layer:3 hour fcst:
2:170573:d=2015123100:VGRD:planetary boundary layer:3 hour fcst:
3:338576:d=2015123100:var discipline=0 center=7 local_table=1 parmcat=2 parm=224:planetary boundary layer:3 hour fcst:
4:426565:d=2015123100:GUST:surface:3 hour fcst:
223:41248034:d=2015123100:SOILW:0.1-0.4 m below ground:3 hour fcst:
224:41344048:d=2015123100:TSOIL:0.4-1 m below ground:3 hour fcst:
225:41477297:d=2015123100:SOILW:0.4-1 m below ground:3 hour fcst:
226:41574146:d=2015123100:TSOIL:1-2 m below ground:3 hour fcst:
227:41704655:d=2015123100:SOILW:1-2 m below ground:3 hour fcst:
228:41801224:d=2015123100:WEASD:surface:3 hour fcst:
229:41854117:d=2015123100:SNOD:surface:3 hour fcst:
230:41935104:d=2015123100:PEVPR:surface:3 hour fcst:
231:42074657:d=2015123100:TMP:2 m above ground:3 hour fcst:
232:42325543:d=2015123100:SPFH:2 m above ground:3 hour fcst:
233:42531523:d=2015123100:DPT:2 m above ground:3 hour fcst:
234:42688813:d=2015123100:RH:2 m above ground:3 hour fcst:
235:42910689:d=2015123100:var discipline=0 master_table=2 parmcat=0 parm=21:2 m above ground:3 hour fcst:
236:43082527:d=2015123100:TMAX:2 m above ground:0-3 hour max fcst:
237:43340203:d=2015123100:TMIN:2 m above ground:0-3 hour min fcst:
238:43601049:d=2015123100:UGRD:10 m above ground:3 hour fcst:
239:43862696:d=2015123100:VGRD:10 m above ground:3 hour fcst:
240:44118922:d=2015123100:CPOFP:surface:3 hour fcst:
241:44273084:d=2015123100:CPRAT:surface:0-3 hour ave fcst:
242:44387541:d=2015123100:PRATE:surface:0-3 hour ave fcst:
243:44551835:d=2015123100:APCP:surface:0-3 hour acc fcst:
244:44647101:d=2015123100:ACPCP:surface:0-3 hour acc fcst:
245:44764611:d=2015123100:WATR:surface:0-3 hour acc fcst:
246:44838745:d=2015123100:CSNOW:surface:0-3 hour ave fcst:
247:44853800:d=2015123100:CICEP:surface:0-3 hour ave fcst:
248:44854283:d=2015123100:CFRZR:surface:0-3 hour ave fcst:
249:44855256:d=2015123100:CRAIN:surface:0-3 hour ave fcst:
250:44883140:d=2015123100:LHTFL:surface:0-3 hour ave fcst:
251:45164125:d=2015123100:SHTFL:surface:0-3 hour ave fcst:
252:45332386:d=2015123100:GFLUX:surface:0-3 hour ave fcst:
253:45472464:d=2015123100:UFLX:surface:0-3 hour ave fcst:
254:45675618:d=2015123100:VFLX:surface:0-3 hour ave fcst:
255:45871265:d=2015123100:U-GWD:surface:0-3 hour ave fcst:
256:45980647:d=2015123100:V-GWD:surface:0-3 hour ave fcst:
257:46085553:d=2015123100:WILT:surface:3 hour fcst:
258:46180573:d=2015123100:FLDCP:surface:3 hour fcst:
259:46278316:d=2015123100:SUNSD:surface:3 hour fcst:
260:46362322:d=2015123100:LFTX:surface:3 hour fcst:
261:46509444:d=2015123100:CAPE:surface:3 hour fcst:
262:46652042:d=2015123100:CIN:surface:3 hour fcst:
263:46804263:d=2015123100:PWAT:entire atmosphere (considered as a single layer):3 hour fcst:
264:46954040:d=2015123100:CWAT:entire atmosphere (considered as a single layer):3 hour fcst:
265:47076415:d=2015123100:RH:entire atmosphere (considered as a single layer):3 hour fcst:
266:47165829:d=2015123100:TOZNE:entire atmosphere (considered as a single layer):3 hour fcst:
267:47310720:d=2015123100:TCDC:low cloud layer:0-3 hour ave fcst:
268:47486526:d=2015123100:TCDC:middle cloud layer:0-3 hour ave fcst:
269:47593906:d=2015123100:TCDC:high cloud layer:0-3 hour ave fcst:
270:47727901:d=2015123100:TCDC:entire atmosphere:0-3 hour ave fcst:
271:47903492:d=2015123100:PRES:convective cloud bottom level:3 hour fcst:
272:48010710:d=2015123100:PRES:low cloud bottom level:0-3 hour ave fcst:
273:48354933:d=2015123100:PRES:middle cloud bottom level:0-3 hour ave fcst:
274:48579160:d=2015123100:PRES:high cloud bottom level:0-3 hour ave fcst:
275:48891582:d=2015123100:PRES:convective cloud top level:3 hour fcst:
276:49010267:d=2015123100:PRES:low cloud top level:0-3 hour ave fcst:
277:49359938:d=2015123100:PRES:middle cloud top level:0-3 hour ave fcst:
278:49580196:d=2015123100:PRES:high cloud top level:0-3 hour ave fcst:
279:49879205:d=2015123100:TMP:low cloud top level:0-3 hour ave fcst:
280:50055802:d=2015123100:TMP:middle cloud top level:0-3 hour ave fcst:
281:50183078:d=2015123100:TMP:high cloud top level:0-3 hour ave fcst:
282:50359896:d=2015123100:TCDC:convective cloud layer:3 hour fcst:
