1:0:d=2016010100:UGRD:planetary boundary layer:48 hour fcst:
2:180556:d=2016010100:VGRD:planetary boundary layer:48 hour fcst:
3:359112:d=2016010100:var discipline=0 center=7 local_table=1 parmcat=2 parm=224:planetary boundary layer:48 hour fcst:
4:447804:d=2016010100:GUST:surface:48 hour fcst:
263:48986777:d=2016010100:PWAT:entire atmosphere (considered as a single layer):48 hour fcst:
264:49147543:d=2016010100:CWAT:entire atmosphere (considered as a single layer):48 hour fcst:
265:49210871:d=2016010100:RH:entire atmosphere (considered as a single layer):48 hour fcst:
266:49304635:d=2016010100:TOZNE:entire atmosphere (considered as a single layer):48 hour fcst:
267:49463048:d=2016010100:TCDC:low cloud layer:42-48 hour ave fcst:
268:49622432:d=2016010100:TCDC:middle cloud layer:42-48 hour ave fcst:
269:49731007:d=2016010100:TCDC:high cloud layer:42-48 hour ave fcst:
270:49864888:d=2016010100:TCDC:entire atmosphere:42-48 hour ave fcst:
271:50041374:d=2016010100:PRES:convective cloud bottom level:48 hour fcst:
272:50089830:d=2016010100:PRES:low cloud bottom level:42-48 hour ave fcst:
273:50392062:d=2016010100:PRES:middle cloud bottom level:42-48 hour ave fcst:
274:50615976:d=2016010100:PRES:high cloud bottom level:42-48 hour ave fcst:
275:50948022:d=2016010100:PRES:convective cloud top level:48 hour fcst:
276:50997698:d=2016010100:PRES:low cloud top level:42-48 hour ave fcst:
277:51305346:d=2016010100:PRES:middle cloud top level:42-48 hour ave fcst:
278:51528182:d=2016010100:PRES:high cloud top level:42-48 hour ave fcst:
279:51849795:d=2016010100:TMP:low cloud top level:42-48 hour ave fcst:
280:52004748:d=2016010100:TMP:middle cloud top level:42-48 hour ave fcst:
281:52130458:d=2016010100:TMP:high cloud top level:42-48 hour ave fcst:
282:52315257:d=2016010100:TCDC:convective cloud layer:48 hour fcst:
283:52344225:d=2016010100:TCDC:boundary layer cloud layer:42-48 hour ave fcst:
284:52470519:d=2016010100:CWORK:entire atmosphere (considered as a single layer):42-48 hour ave fcst:
285:52538314:d=2016010100:DSWRF:surface:42-48 hour ave fcst:
286:52681185:d=2016010100:DLWRF:surface:42-48 hour ave fcst:
287:52855520:d=2016010100:USWRF:surface:42-48 hour ave fcst:
288:52958197:d=2016010100:ULWRF:surface:42-48 hour ave fcst:
289:53098724:d=2016010100:USWRF:top of atmosphere:42-48 hour ave fcst:
290:53237948:d=2016010100:ULWRF:top of atmosphere:42-48 hour ave fcst:
291:53394004:d=2016010100:HLCY:3000-0 m above ground:48 hour fcst:
292:53592577:d=2016010100:USTM:6000-0 m above ground:48 hour fcst:
293:53863962:d=2016010100:VSTM:6000-0 m above ground:48 hour fcst:
294:54131094:d=2016010100:PRES:tropopause:48 hour fcst:
295:54457128:d=2016010100:ICAHT:tropopause:48 hour fcst:
296:54770677:d=2016010100:HGT:tropopause:48 hour fcst:
297:55081987:d=2016010100:TMP:tropopause:48 hour fcst:
298:55215605:d=2016010100:UGRD:tropopause:48 hour fcst:
299:55372659:d=2016010100:VGRD:tropopause:48 hour fcst:
300:55521138:d=2016010100:VWSH:tropopause:48 hour fcst:
301:55715421:d=2016010100:PRES:max wind:48 hour fcst:
302:56116206:d=2016010100:ICAHT:max wind:48 hour fcst:
303:56525809:d=2016010100:HGT:max wind:48 hour fcst:
304:56937321:d=2016010100:UGRD:max wind:48 hour fcst:
305:57115209:d=2016010100:VGRD:max wind:48 hour fcst:
306:57295660:d=2016010100:TMP:max wind:48 hour fcst:
307:57501504:d=2016010100:TMP:80 m above ground:48 hour fcst:
308:57648566:d=2016010100:SPFH:80 m above ground:48 hour fcst:
309:57851748:d=2016010100:PRES:80 m above ground:48 hour fcst:
310:58115274:d=2016010100:UGRD:80 m above ground:48 hour fcst:
311:58388719:d=2016010100:VGRD:80 m above ground:48 hour fcst:
312:58658015:d=2016010100:TMP:100 m above ground:48 hour fcst:
313:58804765:d=2016010100:UGRD:100 m above ground:48 hour fcst:
314:59078216:d=2016010100:VGRD:100 m above ground:48 hour fcst:
315:59348145:d=2016010100:TMP:1829 m above mean sea level:48 hour fcst:
316:59508750:d=2016010100:UGRD:1829 m above mean sea level:48 hour fcst:
317:59792186:d=2016010100:VGRD:1829 m above mean sea level:48 hour fcst:
318:60080152:d=2016010100:TMP:2743 m above mean sea level:48 hour fcst:
319:60235447:d=2016010100:UGRD:2743 m above mean sea level:48 hour fcst:
320:60523601:d=2016010100:VGRD:2743 m above mean sea level:48 hour fcst:
321:60812527:d=2016010100:TMP:3658 m above mean sea level:48 hour fcst:
322:60964546:d=2016010100:UGRD:3658 m above mean sea level:48 hour fcst:
323:61253453:d=2016010100:VGRD:3658 m above mean sea level:48 hour fcst:
324:61542999:d=2016010100:HGT:0C isotherm:48 hour fcst:
325:61793550:d=2016010100:RH:0C isotherm:48 hour fcst:
326:61940338:d=2016010100:HGT:highest tropospheric freezing level:48 hour fcst:
327:62195563:d=2016010100:RH:highest tropospheric freezing level:48 hour fcst:
